room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8395271,4159382,Shared room,,24,0,0.0,1,1.0,67.0,,56.162881,10.203689,2017-03-30 22:33:40.701869
12799204,29578114,Shared room,,11,2,0.0,2,1.0,30.0,,56.171913,10.136547,2017-03-30 22:33:38.894370
4623614,19645205,Shared room,,24,29,4.5,6,1.0,34.0,,56.157104,10.203791,2017-03-30 22:33:38.891426
6778463,20693961,Shared room,,3,0,0.0,5,1.0,10.0,,56.173203,10.182304,2017-03-30 22:33:38.888612
12130889,21971193,Shared room,,24,2,0.0,1,1.0,16.0,,56.158612,10.185144,2017-03-30 22:33:38.885745
8819543,29014983,Shared room,,24,48,5.0,1,1.0,31.0,,56.164447,10.189526,2017-03-30 22:33:38.883409
9398947,48746007,Shared room,,24,0,0.0,2,1.0,30.0,,56.145004,10.188038,2017-03-30 22:33:38.880203
16091993,79205128,Shared room,,24,6,5.0,1,1.0,18.0,,56.159979,10.20496,2017-03-30 22:33:38.876488
11275615,6620412,Entire home/apt,,6,0,0.0,6,4.0,119.0,,56.162224,10.168322,2017-03-30 22:31:14.738434
1116177,1693364,Entire home/apt,,24,0,0.0,5,2.0,112.0,,56.164051,10.202034,2017-03-30 22:30:47.647703
1256165,6842647,Entire home/apt,,24,6,4.0,5,1.0,157.0,,56.155217,10.194419,2017-03-30 22:30:23.502270
60108,281902,Entire home/apt,,3,12,5.0,6,3.0,156.0,,56.176466,10.175071,2017-03-30 22:30:23.497208
17382570,67882822,Entire home/apt,,24,0,0.0,4,1.0,119.0,,56.152907,10.201758,2017-03-30 22:30:07.876821
7048623,33439155,Entire home/apt,,24,22,5.0,4,1.0,90.0,,56.155692,10.201057,2017-03-30 22:29:58.988779
17826757,73045507,Entire home/apt,,24,0,0.0,4,2.0,119.0,,56.149288,10.200522,2017-03-30 22:29:06.536361
13404435,67489244,Entire home/apt,,24,11,5.0,4,1.0,117.0,,56.161877,10.209446,2017-03-30 22:29:05.129882
5323017,27578767,Entire home/apt,,24,6,5.0,4,1.0,118.0,,56.152694,10.19328,2017-03-30 22:29:05.102125
10013159,39500645,Entire home/apt,,24,1,0.0,3,0.0,90.0,,56.162763,10.214345,2017-03-30 22:28:55.406172
6463339,31734569,Entire home/apt,,3,18,5.0,4,2.0,82.0,,56.167338,10.189248,2017-03-30 22:28:53.917464
5897237,15946060,Entire home/apt,,5,0,0.0,6,3.0,74.0,,56.199484,10.225756,2017-03-30 22:28:08.300242
931757,3732437,Entire home/apt,,24,30,5.0,4,1.0,142.0,,56.157217,10.208477,2017-03-30 22:27:16.851672
5937398,30827001,Entire home/apt,,24,17,5.0,4,3.0,127.0,,56.161743,10.204146,2017-03-30 22:27:16.828369
7191985,37664857,Entire home/apt,,24,2,0.0,5,2.0,134.0,,56.159397,10.213503,2017-03-30 22:27:16.820494
14393240,27300004,Entire home/apt,,24,2,0.0,4,2.0,119.0,,56.152682,10.203554,2017-03-30 22:27:09.957772
5710368,7401636,Entire home/apt,,24,1,0.0,3,1.0,112.0,,56.163529,10.216265,2017-03-30 22:27:09.944667
6046960,20254949,Entire home/apt,,24,5,5.0,2,1.0,90.0,,56.143106,10.207473,2017-03-30 22:26:57.983068
7849786,12438788,Entire home/apt,,24,9,5.0,2,3.0,82.0,,56.146872,10.205591,2017-03-30 22:26:57.971964
2154945,10018736,Entire home/apt,,24,11,4.5,3,1.0,90.0,,56.146389,10.202741,2017-03-30 22:26:57.965160
14149293,14666985,Entire home/apt,,24,1,0.0,3,0.0,85.0,,56.146285,10.201754,2017-03-30 22:26:57.960599
16110458,54377331,Entire home/apt,,24,0,0.0,3,1.0,97.0,,56.157541,10.209872,2017-03-30 22:26:56.708727
16375278,77647065,Entire home/apt,,24,0,0.0,3,1.0,82.0,,56.161718,10.214956,2017-03-30 22:26:56.698598
9134251,41911461,Entire home/apt,,24,4,5.0,4,1.0,74.0,,56.147435,10.190551,2017-03-30 22:26:28.421163
7464703,38058024,Entire home/apt,,24,14,4.5,2,1.0,64.0,,56.145115,10.206242,2017-03-30 22:26:27.107518
11063556,30105552,Entire home/apt,,2,0,0.0,2,1.0,67.0,,56.143188,10.187525,2017-03-30 22:26:13.098389
14065644,26778785,Entire home/apt,,24,0,0.0,2,1.0,67.0,,56.158171,10.190561,2017-03-30 22:26:04.283751
1312217,7130470,Entire home/apt,,24,18,5.0,2,1.0,67.0,,56.150589,10.205245,2017-03-30 22:26:02.925302
2494097,7414417,Entire home/apt,,24,0,0.0,2,1.0,81.0,,56.151055,10.196905,2017-03-30 22:26:02.922623
6637803,34738434,Entire home/apt,,24,8,5.0,3,1.0,72.0,,56.149287,10.194791,2017-03-30 22:26:02.915063
11098272,48729900,Entire home/apt,,24,9,4.5,4,1.0,66.0,,56.155801,10.184681,2017-03-30 22:25:48.091018
10396411,53528987,Entire home/apt,,24,4,5.0,3,2.0,74.0,,56.153392,10.192538,2017-03-30 22:25:48.088377
8348016,25626506,Entire home/apt,,24,5,4.5,2,1.0,82.0,,56.161474,10.207077,2017-03-30 22:25:30.665543
